donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,notes
ai-setup,action.yml,eef0a4cff160e00454ac0578301e9c4a77db88cbb0761468ee30c111df154f57,1228,yml,yaml,configuration,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/RECORDING.md,2c764a3d0a4ddb6b10757dfdea510d00112c4b73ba558d81d2511d094b80eeae,2775,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/demo-header.gif,f2f0562a26a18080d5f58b2c557de03b0aa9ed8c975f35173a77d16460c592e7,4622558,gif,unknown,media,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/demo-setup.sh,0a1dcd0f3b897ce464d83f51ea64e6c0a981e710083ade71b76b44981a71958f,6816,sh,shell,implementation,authoritative-or-review-required,CAL-ROOT;CAL-MULTI,
ai-setup,assets/demo-show.sh,25c374606f77c7730e7f2e2aac8527294fc4f5cbb4345d6bd8c3579e2ce00cd1,1407,sh,shell,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/demo-video.tape,bb20d65ab8635b3d1db7b2f7d0105023d3776bda7a2a7e196b0ccda8efa3c759,1123,tape,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/demo.tape,5d1b644415ce50b3e2b5e113685425c1044eaea85e54ddf4e543c7d00333c879,720,tape,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/hook-runner.vbs,76097d07ea0a538ee4618cfc549f7f875ca22a3d144bc45b54ddf340e49b23f2,1539,vbs,unknown,implementation,authoritative-or-review-required,CAL-ROOT;CAL-HOOKS,
ai-setup,assets/icon.png,32546bb7618267dadc7cd18f56aa032b94b0d627401b048059666d575009a325,3445,png,unknown,media,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/icon.svg,af2a2a983aecf04db65673f0c75346eee650160d59186609333cd24733323721,357,svg,unknown,media,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/logo-dark.svg,bef5b6ad6ae41d1cd13880dcea4a7eb926382816cb07e52f1ef0e28d7f694091,627,svg,unknown,media,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/social-preview.png,cfb379b55d6587763535acab84cb849be72e2bd184fe3f20b1208928dc5bd87f,185234,png,unknown,media,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/social-preview.svg,d256b8c3291a9859af2640b13923fdeab44c1f87318d3314fa4b6dea31277d65,2097,svg,unknown,media,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/video/package.json,8d311f8618b7f687cd2f0e3daea5cd0c3307c2242fef586f28fdc23845d5d066,491,json,json,configuration,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/video/pnpm-lock.yaml,e9b75b2dd7e419c272f02174b12f810c62be7c08126e3514c5394061e6e2d383,72197,yaml,yaml,configuration,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/video/src/CaliberDemo.tsx,abb422b0bc62c644f956344d418dfa5a752088b59b9df56fbda78acf492a5791,3025,tsx,typescript,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/video/src/Root.tsx,75fdaf2251f8b3b03ef0dfe2592d3856e0b8b3eb24f85cc9001de85cae0d34b9,311,tsx,typescript,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/video/src/components/CallToAction.tsx,4eeea9fe820d27d7841fe90e4fff27c0dddbf8c946ca1f94d264e9a39983e014,3353,tsx,typescript,ui-or-product,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/video/src/components/EcosystemHub.tsx,ed6cc4e5c3338eae13cdcb63312f13c8a729c70a7871df4efd63202c2b7145f4,4409,tsx,typescript,ui-or-product,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/video/src/components/Logo.tsx,be48c06805cdaca2c262d6f7d3e47b6ff427d7c60b2ba6125ce6f4566e7ab4cb,1349,tsx,typescript,ui-or-product,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/video/src/components/PlaybooksScene.tsx,62bd4cdd3d77b6bd4d2a4575166e357a40e645c7fd6cd3cf26a4b9ef224579c2,12678,tsx,typescript,ui-or-product,authoritative-or-review-required,CAL-ROOT,
